<init>(YggdrasilSocialInteractionsService.java:40) ~[authlib-2.1.28.jar:?]
<init>(class_310.java:409) [client-intermediary.jar:?]
<wanghany> awa, , ,
<bai_du_wang_pan> 无限城城主最近回来了？
<LightMusic97883> 你们好，我是新人，我是看B站的专栏介绍进来的
<1323dawn> 我也是新人
<1323dawn> lightmusic97883
<1323dawn> 一起玩吗
<LightMusic97883> 你们服没有新人福利吗？我啥也没有，让我怎么活啊
<1323dawn> 哪个服武器有啊
<1323dawn> 我玩过的全没
<1323dawn> 我也才来咱俩一起玩吧
<LightMusic97883> @1323dawn 好啊，一起玩
<1323dawn> 一出生全是领地玩屁啊
<1323dawn> 回主城去资源世界？
<1323dawn> tp我
<hyq> wanghany
<Dachengcheng> 干嘛
<hyq> 随便干嘛
<Dachengcheng> 抢好吧，别抢尸王斧，我要打僵尸王
<hyq> 好
<hyq> 下边放个火把？
<Dachengcheng> en
<zaimarentou> ?
<yingfeng> e
<Dachengcheng> 僵尸王在这附近
<hyq> e
<Dachengcheng> ?
<Dachengcheng> 我先吃饭
<hyq> en
<Dachengcheng> em的boss追踪说在这
<hyq> e
<zaimarentou> 电脑没电了
<hyq> 干嘛
<Dachengcheng> wodazi
<hyq> ?
<Dachengcheng> 理论上我站的地方有僵尸王
<hyq> e
<Dachengcheng> 起码em是这么说的
<hyq> e
<yingfeng> 原来不详之兆可以和村庄英雄共存
<Cloudrain_0v0> 可以
<Cloudrain_0v0> 但是村庄英雄的时间会变得有限
<hyq> 那不祥征兆也会消失啊
<Dachengcheng> 为啥没有僵尸王
<hyq> 不过他们是可以共存的
<yingfeng> 可以共存，我试过了
<Cloudrain_0v0> 你吃个不祥之兆往哪一杵啥也不干它不会消失
<hyq> 我的损友给我调了
<Dachengcheng> 僵尸王理论上应该在这
<sherry2403> ...
<Cloudrain_0v0> 理论没有告诉你，僵尸王被一个人才泡发了变成溺尸
<yingfeng> 6
<sherry2403> 6
<Dachengcheng> 6
<sherry2403> ...
<Dachengcheng> 28级？
<hyq> 6
<sherry2403> 之前打哥布林，直接人间蒸发
<hyq> 对了
<Dachengcheng> 啥事
<hyq> 我打死了一个溺尸
<Dachengcheng> ？
<Dachengcheng> ?
<hyq> 可能是那个僵王
<Dachengcheng> ！
<hyq> 溜了
<Dachengcheng> 掉了什么
<hyq> 一个三叉戟
<Dachengcheng> 还有什么
<hyq> 废的
<hyq> 腐肉
<Cloudrain_0v0> 放心，我早上6点起来打过了，你打的不是姜王
<hyq> 没了
<Dachengcheng> ?
<hyq> Cloud
<hyq> 那啥
<Cloudrain_0v0> ?
<hyq> 我通过小号看到了你们那里的
<hyq> 德意志方片
<Dachengcheng> cloud,你打的是岛附近那个？
<hyq> awa
<Cloudrain_0v0> 是的
<Dachengcheng> !
<hyq> awa
<Cloudrain_0v0> 别看了，俩boss都假的
<hyq> *^&&%$%
<Cloudrain_0v0> 今天早上砸过来一个陨石倒是真的
<hyq> Cloud
<Dachengcheng> 34850 10 33824那个？？？(晕，找了半小时)
<hyq> 我有20个附魔金屁屁
<Dachengcheng> 我有9个
<hyq> 给你10个awa
<Cloudrain_0v0> 还有你hyq咋这么不要脸呢，领地移动给你下了摆明就是不让你过来看
<hyq> e
<hyq> e
<Cloudrain_0v0> 还开个小号过来（恼）
<hyq> (哔)
<hyq> 也没说不能开小号
<Cloudrain_0v0> 你猜我下你领地移动的目的是什么
<hyq> 私聊说好吧
